データ仕様　ズームレベル8～10（地物）
カテゴリ,地物名,source-layer,ftCodeH,ftCodeL,データタイプ
記号,都道府県所在地,symbol,14,01,点
記号,市役所・東京都の区役所,symbol,14,02,点
記号,町村役場・政令指定都市の区役所,symbol,14,03,点
記号,灯台,symbol,32,21,点
記号,採鉱地,symbol,63,51,点
記号,特定重要港,symbol,63,67,点
記号,重要港,symbol,63,68,点
記号,国際空港,symbol,63,75,点
記号,国際空港以外の拠点空港等,symbol,63,76,点
記号,三角点,symbol,71,02,点
境界,都府県界及び北海道総合振興局・振興局界,boundary,12,11,線
道路,道路-通常部-通常部,road,27,01,線
道路,道路-通常部-トンネル,road,27,04,線
鉄道,鉄道,railway,82,01,線
航路,水上・海上交通　航路の軌跡,searoute,59,02,線
交通構造物,国道番号,transp,29,01,点
交通構造物,高速道路番号,transp,29,04,点
交通構造物,インターチェンジ,transp,29,41,点
交通構造物,ジャンクション,transp,29,42,点
交通構造物,スマートインターチェンジ,transp,29,45,点
構造物,桟橋（面）,wstructurea,54,11,面
河川,通常部,river,53,01,線
河川,枯れ川部,river,53,02,線
水域,水域,waterarea,50,00,面
標高,標高点,elevation,72,01,点
標高,火山,elevation,72,21,点
等高線等深線,等高線-通常部,contour,73,51,線
地形,湿地,landforma,74,01,面
地形,砂礫地（領域が明瞭な場合）,landforma,74,03,面
